,ticker,entry_date,exit_date,entry_price,exit_price,return
182,MA,2025-10-01,2025-12-01,572.1541137695312,543.1541137695312,-0.05068564448298533
183,PG,2025-10-01,2025-12-01,151.04383850097656,146.4005584716797,-0.03074127402599646
184,HD,2025-08-01,2025-12-01,369.1644287109375,355.0337219238281,-0.03827754162678002
185,AMZN,2025-07-01,2026-02-27,220.4600067138672,210.0,-0.047446277761585685
186,GOOGL,2025-07-01,2026-02-27,175.44451904296875,311.54071044921875,0.7757221037661381
187,JPM,2025-07-01,2026-02-27,286.3277282714844,300.29998779296875,0.04879813633779975
188,JNJ,2025-07-01,2026-02-27,152.99398803710938,248.42999267578125,0.6237892472972432
189,AAPL,2025-08-01,2026-02-27,201.76602172851562,264.17999267578125,0.3093383633803622
190,NVDA,2025-12-01,2026-02-27,179.9099884033203,177.19000244140625,-0.0151185933924715
191,KO,2025-12-01,2026-02-27,71.94999694824219,81.55999755859375,0.13356498982570625
192,PFE,2025-12-01,2026-02-27,24.853675842285156,27.649999618530273,0.11251147693362733
193,MRK,2025-12-01,2026-02-27,100.96703338623047,123.81999969482422,0.22634087129384112
194,BAC,2025-12-01,2026-02-27,52.667022705078125,49.549888610839844,-0.059185690288464494
